"id","roadmap_stage","roadmap_item","proposed_module","proposed_api","status","origin_category","origin_detail","external_reference","scientific_problem","computational_problem","why_oceancube","destination","implementation_strategy","dependency_strategy","prerequisites","priority","target_version","risk","maintainer_decision_required","decision_id","notes"
"OC-VEC-04","0.3.0-E","Vertical velocity support","vector-operations","w-component methods under review","PROPOSED","USER-DRIVEN;ARCHITECTURAL","Three-component flows require vertical units and sign conventions","https://xgcm.readthedocs.io/en/latest/","Represent and visualize vertical motion consistently with depth coordinates","Vertical velocity may use different units, staggering, and positive direction","It is part of the physical vector field","oceancube","Integrate w only after vertical and grid position contracts","No new dependency","Vertical contract and component alignment","P2","0.3.0-E","high","TRUE","DEC-009","Does not imply trajectory or particle integration"
"OC-GRID-01","0.4.0-A","ocean_grid topology and position contract","grid-core","ocean_grid component; public constructor undecided","APPROVED-CONCEPT","STANDARD-DRIVEN;ARCHITECTURAL","Rectilinear centers are insufficient for advanced ocean-model grids","https://xgcm.readthedocs.io/en/latest/","Represent axes, topology, center/face/edge positions, CRS, and mappings","Existing five-axis logical shape must coexist with richer coordinates","Grid semantics are a core oceancube responsibility","oceancube","Design internal contract and migration path before exposing constructors","CF model is foundational; xgcm is reference only","CF grid mapping and nontrivial-grid fixtures","P0","0.4.0-A","high","TRUE","DEC-009","Do not force curvilinear arrays into the current 1-D coordinate fields"
"OC-GRID-02","0.4.0-A","Grid metrics contract","grid-metrics","metric registry and validation; API under review","APPROVED-CONCEPT","EXTERNAL-INSPIRED;ARCHITECTURAL","Distances, areas, thicknesses, and volumes are required for physical derivatives and integrals","https://xgcm.readthedocs.io/en/latest/grid_metrics/","Use location-aware metrics with explicit units and masks","Metrics vary by position and grid topology","Geometry and physical weighting belong in oceancube","oceancube","Extend existing area/thickness/volume evidence into a position-aware metric model","No xgcm dependency","ocean_grid topology and CF measures","P0","0.4.0-A","high","FALSE","DEC-009","Existing rectilinear geometry remains the initial implementation evidence"
"OC-GRID-03","0.4.0-A","Regrid and resample engine","grid-transform","candidate cube_regrid/cube_resample or method arguments","PROPOSED","USER-DRIVEN;EXTERNAL-INSPIRED","Fields from different sources need explicit grid/resolution alignment","https://search.r-project.org/CRAN/refmans/OceanView/help/remap.html; https://rspatial.github.io/terra/reference/resample.html","Map values between declared source and target grids","Nearest, bilinear, conservative, and area-weighted methods have different invariants","Explicit field transformation is core oceancube work","oceancube","Start rectilinear, require bounds for conservative methods, record method and coverage","Optional adapters may delegate after parity evidence","Grid topology, bounds, metrics, and benchmarks","P1","0.4.0-A","high","TRUE","DEC-014","Candidate names only; resampling semantics must separate space and time"
"OC-GRID-04","0.4.0-A","Grid interpolation primitives","grid-transform","composable interpolation engine","APPROVED-CONCEPT","EXTERNAL-INSPIRED;ARCHITECTURAL","Alignment and grid operations need position-aware interpolation","https://xgcm.readthedocs.io/en/latest/api/","Interpolate without hidden extrapolation or boundary assumptions","Irregular, masked, and staggered grids require topology-aware rules","Field-to-field transformations belong in oceancube","oceancube","Implement explicit source/target positions, method, boundary, and diagnostics","Native engine or bounded adapter selected after prototypes","Topology, metrics, and invariance tests","P0","0.4.0-A","high","FALSE","DEC-009","Foundation for vector alignment"
"OC-GRID-05","0.4.0-A","Metric-aware derivatives and integrals","grid-calculus","candidate operation arguments; API undecided","APPROVED-CONCEPT","EXTERNAL-INSPIRED;ARCHITECTURAL","Physical gradients and integrals require distances, areas, and thicknesses","https://xgcm.readthedocs.io/en/latest/grid_metrics/","Compute traceable spatial/vertical field transformations","Naive index differences are invalid on nonuniform or staggered grids","These are physical field transformations","oceancube","Use metric registry and position transitions with unit propagation","No xgcm dependency","Grid metrics and interpolation","P1","0.4.0-A","high","FALSE","DEC-009","Advanced diagnostics depend on these primitives"
"OC-GRID-06","0.4.0-A","Weighted operations and boundary handling","grid-calculus","weight and boundary arguments","APPROVED-CONCEPT","INTERNAL;EXTERNAL-INSPIRED;ARCHITECTURAL","Masks, partial cells, periodicity, fill, extend, and conservative operations need explicit rules","https://xgcm.readthedocs.io/en/latest/api/","Avoid silent edge and partial-cell bias","Boundary behavior can dominate derivatives and interpolation","oceancube owns geometry, masks, and field transformations","oceancube","Define periodic, fill, extend, missing, partial-cell, and mask policies by operation","No new dependency","Metrics, bounds, and property tests","P0","0.4.0-A","high","FALSE","DEC-009","Antimeridian is tracked separately"
"OC-GRID-07","0.4.0-B","Curvilinear and rotated-grid support","grid-advanced","grid adapters and selectors under review","PROPOSED","STANDARD-DRIVEN;EXTERNAL-INSPIRED","Many ocean models use 2-D auxiliary lon/lat or rotated coordinates","https://r-spatial.github.io/stars/reference/read_stars.html","Represent and subset nonrectilinear horizontal domains correctly","Selection, plotting, bounds, and CRS cannot use independent 1-D axes","Advanced grids remain core grid semantics","oceancube","Add only after ocean_grid contract and real topology fixtures","stars may be adapter; CF grid_mapping required","Gate D, topology, metrics, and CF mappings","P2","0.4.0-B","high","TRUE","DEC-015","Not forced into current lon/lat vector fields"
"OC-GRID-08","0.4.0-B","Staggered Arakawa grid support","grid-advanced","position-aware component methods","PROPOSED","EXTERNAL-INSPIRED;ARCHITECTURAL","Ocean circulation output commonly staggers scalar and velocity fields","https://xgcm.readthedocs.io/en/latest/","Align and transform C-grid components without false co-location","Topology, masks, metrics, and boundary positions vary by model","Ocean-model grid semantics belong in oceancube","oceancube","Start with one documented C-grid fixture and explicit positions","xgcm is architectural reference only","Gate D, metrics, interpolation, vector contract","P2","0.4.0-B","high","TRUE","DEC-009","Other staggering arrangements require separate evidence"
"OC-GRID-09","0.4.0-B","Sigma and hybrid coordinate conversion","grid-advanced","coordinate transform engine; API under review","PROPOSED","STANDARD-DRIVEN;EXTERNAL-INSPIRED","Terrain-following ocean grids require formula terms and dynamic depth mapping","https://search.r-project.org/CRAN/refmans/OceanView/help/remap.html; https://cfconventions.org/Data/cf-conventions/cf-conventions-1.13/cf-conventions.html","Convert parametric coordinates to physical depth only with complete formula inputs","Auxiliary fields, time dependence, masks, and interpolation are complex","Vertical/grid coordinate interpretation is core oceancube work","oceancube","Resolve CF formula terms, compute physical coordinates, then explicitly interpolate if requested","OceanView is inspiration; native or hybrid engine undecided","CF vertical semantics, ocean_grid, and real sigma fixture","P2","0.4.0-B","high","TRUE","DEC-015","Never infer missing formula terms"
"OC-GRID-10","0.4.0-B","Antimeridian strengthening","grid-advanced","selection and geometry policies","PROPOSED","INTERNAL;STANDARD-DRIVEN","Current general antimeridian handling is outside scope","https://r-spatial.github.io/sf/","Select, crop, intersect, and visualize wrapped ocean domains consistently","Longitude conventions, polygon splitting, and periodic grids interact","Global ocean grid geometry belongs in oceancube","oceancube","Define normalized intervals, periodic axes, geometry splitting, and provenance","sf/s2 remains optional geometry engine","ocean_grid topology and boundary policy","P2","0.4.0-B","high","TRUE","DEC-013","Requires dedicated global fixtures"
"OC-MULTI-01","0.4.0-C","Collection metadata compatibility and virtual cube contract","backend-collection","collection descriptor; proposed API under review","APPROVED-CONCEPT","ARCHITECTURAL;EXTERNAL-INSPIRED","Many-file products must be validated before concatenation","https://docs.xarray.dev/en/stable/generated/xarray.open_mfdataset.html","Present compatible files as one logical cube without copying all values","Variables, coordinates, attributes, calendars, and encodings can conflict","Multi-file I/O is core backend work","oceancube","Define compatibility levels, conflict diagnostics, ordering, and source list","No Python dependency; native descriptor first","CF model, backend contract, and provenance v1","P1","0.4.0-C","high","TRUE","DEC-014","A candidate cube_open_collection name is not approved"
"OC-MULTI-02","0.4.0-C","Concatenation by time","backend-collection","collection operation or mode argument","PROPOSED","USER-DRIVEN;EXTERNAL-INSPIRED","Operational products are commonly partitioned by time","https://docs.xarray.dev/en/stable/generated/xarray.open_mfdataset.html","Expose one ordered time axis with explicit overlaps and gaps","Duplicates, calendars, variable drift, and file order need rules","Temporal collection semantics belong in oceancube","oceancube","Validate first, then construct a virtual index; materialize only on request","Native implementation; xarray is conceptual reference","Collection compatibility and calendar strategy","P1","0.4.0-C","high","TRUE","DEC-014","Do not silently merge conflicting metadata"
"OC-MULTI-03","0.4.0-C","THREDDS and OPeNDAP access","backend-remote","remote descriptor/adapters; API under review","PROPOSED","USER-DRIVEN;EXTERNAL-INSPIRED","Remote scientific services enable bounded access without full downloads","https://www.opendap.org/; https://www.unidata.ucar.edu/software/tds/","Read remote subsets under the same cube contract","Network errors, server capabilities, authentication, and reproducibility vary","Remote ocean I/O belongs in oceancube","oceancube","Add narrow adapters with dry-run, size estimates, retries policy, and source identity","Optional backend clients; never force credentials into core","CF model, lazy backend, remote provenance, and access fixtures","P2","0.4.0-C","high","TRUE","DEC-013","No remote implementation before bounded local contract is public"
"OC-MULTI-04","0.4.0-C","Remote provenance contract","provenance-remote","provenance extensions","APPROVED-CONCEPT","ARCHITECTURAL;STANDARD-DRIVEN","Remote subsets require source URL, dataset version, query, time, and identity","none (provider-specific evidence)","Reproduce exactly what remote data were requested and returned","Mutable endpoints and server-side transformations obscure lineage","I/O provenance is a core package responsibility","oceancube","Extend provenance v1 with endpoint, query, response identity, checksums/ETag when available, and access time","Backend-neutral schema","Provenance v1 and remote descriptor","P0","0.4.0-C","high","FALSE","DEC-019","Credentials must never be recorded"
"OC-MULTI-05","0.5.0-A","Reference-based virtual datasets inspired by kerchunk","backend-reference","experimental reference descriptor","DEFERRED","EXTERNAL-INSPIRED;ARCHITECTURAL","Many existing NetCDF/HDF files can form virtual cloud-friendly datasets without copying","https://fsspec.github.io/kerchunk/","Represent logical collections through byte-range references","Reference specs, codecs, object stores, and R ecosystem maturity create dependency risk","This is a future backend concept, not a Python core commitment","oceancube","Revisit after native multi-file and lazy abstractions; consider interchange rather than implementation","No Python core dependency; optional external tooling only if approved","Multi-file contract, chunks, storage abstraction, and remote provenance","P3","0.5.0-A","high","TRUE","DEC-012","Concept only; not required for 0.5 lazy engine"
"OC-LAZY-01","0.5.0-A","Operation DAG contract","lazy-core","internal operation nodes and explain/inspect candidate","APPROVED-CONCEPT","EXTERNAL-INSPIRED;ARCHITECTURAL","Deferred transformations need explicit parents, parameters, shapes, and provenance","https://docs.dask.org/en/stable/","Represent pending work without executing or losing scientific semantics","Graph growth, serialization, fusion, and error timing require rules","Lazy field transformation belongs in oceancube backend architecture","oceancube","Define immutable serializable nodes with predicted dimensions and provenance","Native R engine; Dask patterns only","Public lazy backend, provenance, and stable operation contracts","P0","0.5.0-A","high","FALSE","DEC-012","Do not imitate Dask API mechanically"
"OC-LAZY-02","0.5.0-A","Deferred execution and collection boundary","lazy-core","compute/collect semantics under review","APPROVED-CONCEPT","INTERNAL;EXTERNAL-INSPIRED;ARCHITECTURAL","Users need to distinguish planning from materialization","https://docs.xarray.dev/en/stable/; https://docs.dask.org/en/stable/array.html","Preserve lazy chains while making execution explicit","Some operations require global state or materialized intermediates","Backend execution is core oceancube work","oceancube","Classify operations as blockwise, reduction, shuffle/regrid, or eager-only and expose clear collection points","Native execution first","Operation DAG and backend parity","P0","0.5.0-A","high","TRUE","DEC-014","Existing cube_collect informs but does not settle the full API"
"OC-LAZY-03","0.5.0-A","Chunk planner and memory estimator","lazy-planner","internal planner with user-visible plan summary candidate","APPROVED-CONCEPT","EXTERNAL-INSPIRED;ARCHITECTURAL","Chunks must align with storage, operation axes, and memory limits","https://docs.dask.org/en/latest/array-chunks.html","Execute larger-than-memory operations predictably","Too-small chunks create graph overhead; too-large chunks exhaust memory","Storage-aware planning is a core backend responsibility","oceancube","Model source chunks, target blocks, halo needs, intermediate size, and peak memory","Native planner; Dask guidance as reference","Operation DAG, benchmarks, and memory profiles","P0","0.5.0-A","high","FALSE","DEC-012","Planner policy must be benchmarked on oceancube operations"
"OC-LAZY-04","0.5.0-A","Cache and progress contract","lazy-runtime","cache/progress options under review","PROPOSED","USER-DRIVEN;ARCHITECTURAL","Long operations need observable progress and controlled reuse","none (runtime design evidence)","Avoid repeated expensive reads while retaining reproducibility","Cache invalidation, source mutation, cancellation, and sensitive paths are risks","Execution ergonomics belong with the lazy engine","oceancube","Key cache by source identity, operation hash, schema, and package version; make progress optional","Minimal native interface; optional progress backend only if justified","DAG, provenance, and source identity","P1","0.5.0-A","medium","TRUE","DEC-014","No implicit persistent cache in the package directory"
"OC-LAZY-05","0.5.0-A","Parallel chunk execution","lazy-runtime","execution backend options","PROPOSED","EXTERNAL-INSPIRED;ARCHITECTURAL","Independent chunks can reduce wall time for large operations","https://docs.dask.org/en/stable/best-practices.html","Use available compute without changing scientific results","File handles, serialization, memory multiplication, ordering, and cancellation are complex","Parallelism belongs under the execution contract, not individual functions","oceancube","Start bounded and deterministic; benchmark sequential versus parallel and cap memory","Optional R parallel backend selected later; no Dask dependency","Chunk planner, stress tests, and deterministic reductions","P2","0.5.0-A","high","TRUE","DEC-012","Parallel is not automatically faster"
"OC-STOR-01","0.5.0-B","CF-compliant NetCDF writing","backend-write","candidate cube_write or method; API undecided","APPROVED-CONCEPT","STANDARD-DRIVEN;USER-DRIVEN","Users need reproducible export of transformed cubes","https://cfconventions.org/Data/cf-conventions/cf-conventions-1.13/cf-conventions.html","Write data, coordinates, bounds, metadata, provenance, and quality without semantic loss","Encoding, fill values, unlimited dimensions, groups, and conformance are complex","NetCDF storage is a core oceancube responsibility","oceancube","Design writer from the stable CF model and round-trip conformance tests","NetCDF library choice reviewed separately","CF stages 1-4, provenance, and writer fixtures","P1","0.5.0-B","high","TRUE","DEC-015","Writing is CF stage 5, not an early metadata shortcut"
"OC-STOR-02","0.5.0-B","Compression and chunk encoding policy","backend-write","writer encoding arguments","APPROVED-CONCEPT","STANDARD-DRIVEN;ARCHITECTURAL","Storage layout controls size and read performance","https://docs.dask.org/en/latest/array-chunks.html","Choose encodings suited to expected ocean selections","Poor chunks or compression can make reads inefficient or lossy","oceancube writes and reads multidimensional storage","oceancube","Benchmark chunk shapes, compression levels, packing, checksums, and round trips","Backend-specific encoders behind shared policy","Chunk planner and NetCDF writer","P1","0.5.0-B","high","FALSE","DEC-028","Lossy packing must be explicit"
"OC-STOR-03","0.5.0-B","Experimental Zarr backend","backend-zarr","read/write adapter; API under review","DEFERRED","STANDARD-DRIVEN;EXTERNAL-INSPIRED","Zarr provides versioned chunked compressed N-D storage for cloud/object systems","https://zarr.dev/; https://zarr-specs.readthedocs.io/en/latest/v3/core/index.html","Access and store large analysis-ready arrays by chunk","R implementation maturity, metadata conventions, codecs, and version compatibility are risks","A future storage backend fits the cube abstraction","oceancube","Prototype only after CF, lazy, chunk, and storage contracts; declare experimental coverage","Optional backend dependency; no Python core","Gate E, writer abstraction, chunk planner, and CF encoding","P3","0.5.0-B","high","TRUE","DEC-012","Zarr container alone does not provide CF/geospatial semantics"
"OC-STOR-04","0.5.0-B","Cloud and object-storage access","backend-cloud","storage adapter options","DEFERRED","USER-DRIVEN;EXTERNAL-INSPIRED;ARCHITECTURAL","Large archives increasingly live in object storage","https://zarr.dev/; https://fsspec.github.io/kerchunk/","Read only required chunks close to data","Authentication, cost, consistency, retries, and provider APIs vary","Remote storage belongs behind the backend contract","oceancube","Add one bounded optional adapter after local and HTTP/reference contracts are stable","Optional provider-neutral storage library preferred","Gate E, remote provenance, and Zarr/reference decision","P3","0.5.0-B","high","TRUE","DEC-012","Never record credentials"
"OC-DATA-01","0.6.x","Profiles and time-series profiles","data-models","profile adapter/model; API under review","DEFERRED","STANDARD-DRIVEN;USER-DRIVEN","In-situ profiles are not naturally rectilinear five-axis cubes","https://cfconventions.org/Data/cf-conventions/cf-conventions-1.13/cf-conventions.html","Represent ragged or sampled vertical observations without false gridding","Variable profile levels and ragged arrays need a distinct contract","Ocean data interoperability may extend beyond gridded cubes","oceancube","Evaluate CF discrete sampling geometry and oce profile workflows","Optional adapters; do not overload ocean_cube prematurely","Stable gridded contracts and DSG fixtures","P3","0.6.x","high","TRUE","DEC-014","Could remain an adapter rather than a core class"
"OC-DATA-02","0.6.x","Trajectory data model","data-models","trajectory adapter/model; API under review","DEFERRED","STANDARD-DRIVEN;USER-DRIVEN","Drifters and moving platforms have observation-indexed coordinates","https://cfconventions.org/Data/cf-conventions/cf-conventions-1.13/cf-conventions.html","Preserve moving coordinates, time, variables, and quality","A rectilinear cube would misrepresent trajectory topology","Potential ocean-data extension requires a distinct model","oceancube","Evaluate CF trajectory DSG and exchange with tabular/spatial tools","Adapter-first; no particle simulation","Stable provenance, time, and DSG contract","P3","0.6.x","high","TRUE","DEC-014","Lagrangian simulation remains out of scope"
"OC-DATA-03","0.6.x","Ensemble dimension contract","data-models","ensemble axis or collection metadata; API under review","DEFERRED","USER-DRIVEN;ARCHITECTURAL","Forecast and model products may include members beyond the canonical axes","https://docs.xarray.dev/en/stable/","Represent member identity and aggregation without treating members as variables","Logical shape, metadata, lazy reads, and statistics need compatibility rules","Ensemble ocean fields are upstream data representation","oceancube","Prototype as explicit auxiliary dimension or collection after core contracts stabilize","No xarray dependency","Multi-file, lazy, and provenance contracts","P3","0.6.x","high","TRUE","DEC-014","Do not silently repurpose variable axis"
"OC-DATA-04","0.6.x","CF discrete sampling geometry support","data-models","DSG adapters","DEFERRED","STANDARD-DRIVEN;ARCHITECTURAL","CF defines feature types for point, timeSeries, profile, and trajectory observations","https://cfconventions.org/Data/cf-conventions/cf-conventions-1.13/cf-conventions.html","Interpret observation collections using their actual sampling geometry","Contiguous/indexed ragged arrays and instance dimensions require specialized logic","CF-aware data access may include non-gridded ocean observations","oceancube","Implement adapter contracts only after gridded 1.0 foundations are near stable","Native or ncdfCF-assisted strategy undecided","CF engine and profiles/trajectory design","P3","0.6.x","high","TRUE","DEC-015","Not required for 0.3 or 0.4"
"OC-DATA-05","0.6.x","Possible unstructured-grid support","grid-unstructured","mesh adapter/model; API under review","DEFERRED","STANDARD-DRIVEN;ARCHITECTURAL","Some ocean models use connectivity-based meshes","https://ugrid-conventions.github.io/ugrid-conventions/","Represent cells, nodes, faces, connectivity, and metrics without false rectilinear axes","Topology and algorithms differ fundamentally from current grids","Could be a long-term ocean grid extension","oceancube","Evaluate UGRID and adapter-first feasibility after advanced structured grids","Optional mesh ecosystem adapter preferred before core expansion","Stable ocean_grid, CF model, metrics, and fixtures","P4","0.6.x","very-high","TRUE","DEC-014","May remain outside core if maintenance cost is excessive"
"OC-BOUNDARY-01","boundary-review","annual_index legacy boundary debt","legacy-indicators","existing annual_index; no change","LEGACY-DEBT","INTERNAL;ARCHITECTURAL","Function produces indicators and ocean_indicators objects","none (current source and boundary audit)","Maintain compatibility while restoring package boundary","Immediate removal would break users and downstream replacement does not yet exist","Migration must be coordinated from oceancube to spatind","spatind","Retain unchanged; define downstream parity, migration, deprecation, and release timeline later","Requires verified spatind contract","Equivalent downstream implementation and maintainer approval","P1","unassigned","high","TRUE","DEC-022","No deprecation, migration, or removal is authorized"
"OC-BOUNDARY-02","boundary-review","stock_mask boundary review","legacy-spatial","existing stock_mask; no change","LEGACY-DEBT","INTERNAL;ARCHITECTURAL","Stock-oriented naming may encode downstream domain semantics","none (current source and usage evidence)","Determine whether behavior is generic geometry or indicator-specific preparation","Consumers and replacement parity are unknown","Geometry can belong in oceancube but stock interpretation may not","shared-contract","Audit semantics and consumers individually; do not infer from name","No dependency change","Accessible spatind contract and usage evidence","P2","unassigned","medium","TRUE","DEC-022","Not an automatic migration candidate"
"OC-BOUNDARY-03","boundary-review","crop_stock boundary review","legacy-spatial","existing crop_stock; no change","LEGACY-DEBT","INTERNAL;ARCHITECTURAL","Stock-oriented crop semantics require boundary classification","none (current source and usage evidence)","Separate generic field cropping from downstream stock workflow convenience","Behavior and external consumers may rely on compatibility","Selection belongs upstream but domain wrappers need review","shared-contract","Audit behavior, redundancy, and consumers before any lifecycle proposal","No dependency change","Usage evidence and spatind contract","P2","unassigned","medium","TRUE","DEC-022","No deprecation is authorized"
"OC-BOUNDARY-04","boundary-review","link_events boundary review","legacy-linkage","existing link_events; no change","LEGACY-DEBT","INTERNAL;ARCHITECTURAL","Linking events may be field extraction or downstream analytical joining depending on semantics","none (current source and usage evidence)","Clarify stable upstream matching versus indicator/event interpretation","Temporal/spatial matching and downstream meaning may be mixed","Explicit extraction can belong in oceancube","shared-contract","Audit contract and consumers before deciding retain, generalize, or migrate","No dependency change","Tabular exchange and spatind contract","P2","unassigned","medium","TRUE","DEC-022","Not an automatic migration candidate"
"OC-BOUNDARY-05","boundary-review","signal_noise naming review","legacy-temporal","existing signal_noise; no behavior change","LEGACY-DEBT","INTERNAL;ARCHITECTURAL","Name suggests generic signal-to-noise but behavior is standardized anomaly magnitude or signed z","none (current source, tests, and documentation)","Avoid scientific misinterpretation while preserving compatibility","Renaming or deprecation can fragment established workflows","Current behavior is a field transformation but the name is ambiguous","oceancube","Keep behavior documented; evaluate alias or terminology only in a separate lifecycle review","No dependency change","Usage evidence and API lifecycle policy","P2","unassigned","medium","TRUE","DEC-014","No deprecation is authorized"
"OC-BOUNDARY-06","boundary-review","Final cube_trend descriptive contract","trend","existing cube_trend; no expansion","APPROVED-CONCEPT","INTERNAL;ARCHITECTURAL","Released tests and documentation define elapsed-time ordinary linear slope","none (current source and release contract)","Describe per-cell field change without claiming inference","Adding significance or robust trend methods would cross the package boundary","Descriptive field slope remains a field-to-field operation","oceancube","Preserve current contract and direct inferential requests downstream","No new dependency","Current 0.2.0 contract","P0","1.0.0","low","FALSE","DEC-003","Historical Theil-Sen proposal is superseded by DEC-026"
"OC-HYGIENE-01","post-0.2.0-hygiene","Upgrade Pages checkout action from v4","repository-infrastructure","workflow maintenance only","LEGACY-DEBT","INTERNAL;ARCHITECTURAL","Pages uses actions/checkout@v4 while R-CMD-check uses v5","https://github.com/actions/checkout","Keep workflow actions aligned and maintained","Workflow changes can affect Pages but not scientific behavior","Repository infrastructure supports oceancube publication","oceancube","Upgrade in a separate low-risk workflow commit with Pages verification","No package dependency","Green current Pages workflow","P2","post-0.2.0-hygiene","low","TRUE","DEC-027","Do not edit workflow in roadmap phase"
"OC-HYGIENE-02","post-0.2.0-hygiene","Populate GitHub description, homepage, and topics","repository-metadata","repository settings only","LEGACY-DEBT","INTERNAL;ARCHITECTURAL","Repository metadata fields are empty","https://github.com/qselmer/oceancube","Improve discovery and accurately describe the released package","Metadata can overclaim scope if not release-aligned","Repository presentation belongs to project maintenance","oceancube","Apply audited short description, canonical homepage, and focused topics separately","No package dependency","Maintainer approval of exact values","P1","post-0.2.0-hygiene","low","TRUE","DEC-027","Not core 0.3 scientific work"
"OC-HYGIENE-03","post-0.2.0-hygiene","Repair GitHub MIT license recognition","repository-metadata","license metadata files only","LEGACY-DEBT","INTERNAL;ARCHITECTURAL","GitHub reports NOASSERTION while DESCRIPTION declares MIT plus LICENSE","https://docs.github.com/en/repositories/managing-your-repositorys-settings-and-features/customizing-your-repository/licensing-a-repository","Make legal terms machine-recognizable and complete","The current R license stub may be insufficient for GitHub detection","Clear licensing is project governance","oceancube","Review copyright holder/year and standard MIT text in a separate legal-metadata commit","No package dependency","Maintainer confirmation of copyright metadata","P1","post-0.2.0-hygiene","medium","TRUE","DEC-027","Do not guess legal metadata"
"OC-HYGIENE-04","post-0.2.0-hygiene","Reconcile duplicate and historically stale documentation surfaces","documentation-architecture","documentation consolidation only","LEGACY-DEBT","INTERNAL;ARCHITECTURAL","Handbook Rmd/md, vignette, Quarto, generated docs, and historical roadmap overlap","none (repository documentation policy)","Keep one source of truth per purpose without losing scientific context","Deletion before parity can discard unique material and break links","Documentation architecture is part of package maintenance","oceancube","Add status notices and consolidate gradually after topic-level parity approval","No runtime dependency","Documentation map, link audit, and owner approval","P2","post-0.2.0-hygiene","medium","TRUE","DEC-014","No historical file is deleted by this roadmap"
"OC-HYGIENE-05","post-0.2.0-hygiene","Resolve merged dev-0.2.0 and future dev-0.3.0 branch policy","repository-infrastructure","git branch operation only","LEGACY-DEBT","INTERNAL;ARCHITECTURAL","dev-0.2.0 is fully merged and no 0.3 development branch should exist before Gate A","none (git ancestry evidence)","Keep branch names aligned with active development","Premature deletion or branch creation obscures release state","Repository workflow supports controlled oceancube development","oceancube","Approve policy, then delete merged branch and create dev-0.3.0 only when development starts","No package dependency","Gate A and DEC-020 resolution","P0","next-development-cycle","low","TRUE","DEC-021","No branch action occurs in roadmap phase"
"OC-OUT-01","downstream","Ecological spatial indicators","indicator-engine","spatind APIs only","MOVED-TO-SPATIND","ARCHITECTURAL","Occupied area/volume, center of gravity, dispersion, inertia, Gini, entropy, hotspots, fragmentation, overlap, compression, and shifts are downstream outputs","none (package boundary contract)","Calculate interpretable spatial indicators from prepared fields and weights","Indicator definitions and uncertainty are not cube transformations","oceancube should supply fields, weights, keys, and provenance only","spatind","Define in downstream package using versioned exchange schema","No oceancube dependency beyond shared contract","Spatind contract and exchange schema","P1","spatind-roadmap","medium","FALSE","DEC-002","No movement of existing functions occurs in this phase"
"OC-OUT-02","downstream","Indicator trend inference, breakpoints, and regimes","indicator-inference","spatind APIs only","MOVED-TO-SPATIND","ARCHITECTURAL","Sen slope, Mann-Kendall, p-values, uncertainty, change points, and regimes apply to indicator series","none (package boundary contract)","Quantify indicator change and uncertainty","Inferential assumptions and ecological interpretation exceed field transformation","oceancube stops at descriptive per-cell field slope","spatind","Implement downstream with explicit methods and uncertainty","No oceancube scientific dependency beyond exchange","Indicator series contract","P2","spatind-roadmap","high","FALSE","DEC-004","cube_trend must not expand into these methods"
"OC-OUT-03","out-of-scope","Stock assessment, species/community models, machine learning, and causal inference","external-analysis","none","OUT-OF-SCOPE","ARCHITECTURAL","Historical scope excludes general modeling and inference frameworks","none (historical and current package boundary)","These analyses consume prepared ocean fields but require separate domain models","Model training, validation, interpretation, and governance are distinct systems","Keeping them out preserves a focused package contract","out-of-scope","Provide interoperable outputs rather than implementations","Use specialized external packages","Versioned tabular and spatial interchange","P4","out-of-scope","high","FALSE","DEC-001","No public stubs or roadmap exports"
"OC-OUT-04","out-of-scope","General Lagrangian particle tracking","external-analysis","none","OUT-OF-SCOPE","ARCHITECTURAL","Trajectory simulation is not part of the field transformation baseline","none (post-release architecture review)","Particle advection requires numerical integration and model-specific velocity handling","Time stepping, interpolation, boundaries, diffusion, and uncertainty form a separate engine","oceancube may prepare velocity fields but should not become a particle model","out-of-scope","Expose validated vector fields for specialized tools","External particle-model packages","Stable vector and grid interchange","P4","out-of-scope","very-high","FALSE","DEC-001","Observed trajectory data may still be an adapter candidate under OC-DATA-02"
