"function_name","current_file","current_module","proposed_module","proposed_file","move_required","rename_required","notes"
".spatial_pair_map","R/backend-index.R","backend/netcdf","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".transect_cumulative_distance","R/cube_transect.R","extraction","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".transect_mode","R/cube_transect.R","extraction","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".transect_point_label","R/cube_transect.R","extraction","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".transect_resolve_spatial","R/cube_transect.R","extraction","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".transect_scalar_column","R/cube_transect.R","extraction","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".transect_validate_antimeridian","R/cube_transect.R","extraction","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".translate_netcdf_block","R/backend-netcdf.R","backend/netcdf","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".typed_missing","R/cube_mask.R","geometry/masks","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".validate_cube_block","R/backend-memory.R","backend/netcdf","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".validate_cube_block_vector","R/backend-memory.R","backend/netcdf","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".validate_cube_index","R/backend-memory.R","backend/netcdf","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".validate_cube_position","R/backend-memory.R","backend/netcdf","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".validate_extract_flag","R/cube_extract.R","extraction","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".validate_extract_mode","R/cube_extract.R","extraction","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".validate_extract_wide","R/cube_extract.R","extraction","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".validate_geometry_axis","R/cube_grid_geometry.R","geometry/masks","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".validate_memory_backend","R/backend-memory.R","backend/netcdf","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".validate_netcdf_file_identity","R/backend-netcdf.R","backend/netcdf","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".validate_netcdf_physical_schema","R/backend-netcdf.R","backend/netcdf","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".validate_netcdf_storage","R/backend-netcdf.R","backend/netcdf","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".validate_netcdf_variables_argument","R/backend-netcdf.R","backend/netcdf","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".validate_numeric_crop_range","R/cube_crop.R","selection","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".validate_slice_selector_vector","R/cube_slice.R","selection","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".validate_slice_tolerance","R/cube_slice.R","selection","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".validate_spatial_pair_read","R/backend-index.R","backend/netcdf","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".vertical_bounds_metadata","R/cube_grid_geometry.R","geometry/masks","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".weighted_mean","R/utils-internal.R","internal-utils","internal-utils","utils-internal.R",FALSE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".with_netcdf_connection","R/backend-netcdf.R","backend/netcdf","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".with_s2_geometry","R/cube_grid_geometry.R","geometry/masks","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
"cube_assign","","not-implemented","matching","cube-match.R",FALSE,FALSE,"Proposed roadmap function not yet defined in R/*.R; target module/file requires implementation approval."
"cube_join","","not-implemented","matching","cube-match.R",FALSE,TRUE,"Proposed roadmap function not yet defined in R/*.R; target module/file requires implementation approval."
"cube_locate","","not-implemented","matching","cube-match.R",FALSE,FALSE,"Proposed roadmap function not yet defined in R/*.R; target module/file requires implementation approval."
"link_events","R/link_events.R","matching","matching","cube-match.R",TRUE,TRUE,"Proposal only; no file was moved."
"cube_calendar","","not-implemented","metadata-cf","cube-standardize.R",FALSE,FALSE,"Proposed roadmap function not yet defined in R/*.R; target module/file requires implementation approval."
"cube_cf_metadata","","not-implemented","metadata-cf","cube-standardize.R",FALSE,FALSE,"Proposed roadmap function not yet defined in R/*.R; target module/file requires implementation approval."
"cube_depth_positive","","not-implemented","metadata-cf","cube-standardize.R",FALSE,FALSE,"Proposed roadmap function not yet defined in R/*.R; target module/file requires implementation approval."
"cube_lon_convention","","not-implemented","metadata-cf","cube-standardize.R",FALSE,FALSE,"Proposed roadmap function not yet defined in R/*.R; target module/file requires implementation approval."
"cube_standardize","","not-implemented","metadata-cf","cube-standardize.R",FALSE,FALSE,"Proposed roadmap function not yet defined in R/*.R; target module/file requires implementation approval."
"cube_units","","not-implemented","metadata-cf","cube-standardize.R",FALSE,FALSE,"Proposed roadmap function not yet defined in R/*.R; target module/file requires implementation approval."
"cube_align","","not-implemented","selection","cube-select.R",FALSE,FALSE,"Proposed roadmap function not yet defined in R/*.R; target module/file requires implementation approval."
"cube_crop","R/cube_crop.R","selection","selection","cube-select.R",TRUE,FALSE,"Proposal only; no file was moved."
"cube_mask","R/cube_mask.R","geometry/masks","selection","cube-select.R",TRUE,FALSE,"Proposal only; no file was moved."
"cube_merge","","not-implemented","selection","cube-select.R",FALSE,FALSE,"Proposed roadmap function not yet defined in R/*.R; target module/file requires implementation approval."
"cube_regrid","","not-implemented","selection","cube-select.R",FALSE,FALSE,"Proposed roadmap function not yet defined in R/*.R; target module/file requires implementation approval."
"cube_resample","","not-implemented","selection","cube-select.R",FALSE,FALSE,"Proposed roadmap function not yet defined in R/*.R; target module/file requires implementation approval."
"cube_slice","R/cube_slice.R","selection","selection","cube-select.R",TRUE,FALSE,"Proposal only; no file was moved."
"cube_stack","","not-implemented","selection","cube-select.R",FALSE,FALSE,"Proposed roadmap function not yet defined in R/*.R; target module/file requires implementation approval."
"cube_area_mean","","not-implemented","summary","cube-summary.R",FALSE,FALSE,"Proposed roadmap function not yet defined in R/*.R; target module/file requires implementation approval."
"cube_count","","not-implemented","summary","cube-summary.R",FALSE,FALSE,"Proposed roadmap function not yet defined in R/*.R; target module/file requires implementation approval."
"cube_exceedance","","not-implemented","summary","cube-summary.R",FALSE,FALSE,"Proposed roadmap function not yet defined in R/*.R; target module/file requires implementation approval."
"cube_max","","not-implemented","summary","cube-summary.R",FALSE,FALSE,"Proposed roadmap function not yet defined in R/*.R; target module/file requires implementation approval."
"cube_mean","","not-implemented","summary","cube-summary.R",FALSE,FALSE,"Proposed roadmap function not yet defined in R/*.R; target module/file requires implementation approval."
"cube_median","","not-implemented","summary","cube-summary.R",FALSE,FALSE,"Proposed roadmap function not yet defined in R/*.R; target module/file requires implementation approval."
"cube_min","","not-implemented","summary","cube-summary.R",FALSE,FALSE,"Proposed roadmap function not yet defined in R/*.R; target module/file requires implementation approval."
"cube_quantile","","not-implemented","summary","cube-summary.R",FALSE,FALSE,"Proposed roadmap function not yet defined in R/*.R; target module/file requires implementation approval."
"cube_region_summary","","not-implemented","summary","cube-summary.R",FALSE,FALSE,"Proposed roadmap function not yet defined in R/*.R; target module/file requires implementation approval."
"cube_sd","","not-implemented","summary","cube-summary.R",FALSE,FALSE,"Proposed roadmap function not yet defined in R/*.R; target module/file requires implementation approval."
"cube_vertical_integral","","not-implemented","summary","cube-summary.R",FALSE,FALSE,"Proposed roadmap function not yet defined in R/*.R; target module/file requires implementation approval."
"cube_vertical_mean","","not-implemented","summary","cube-summary.R",FALSE,TRUE,"Proposed roadmap function not yet defined in R/*.R; target module/file requires implementation approval."
"cube_volume_mean","","not-implemented","summary","cube-summary.R",FALSE,FALSE,"Proposed roadmap function not yet defined in R/*.R; target module/file requires implementation approval."
"layer_mean","R/layer_mean.R","summary","summary","cube-summary.R",TRUE,TRUE,"Proposal only; no file was moved."
"cube_coverage","","not-implemented","validation","cube-validate.R",FALSE,FALSE,"Proposed roadmap function not yet defined in R/*.R; target module/file requires implementation approval."
"cube_inspect","","not-implemented","validation","cube-validate.R",FALSE,FALSE,"Proposed roadmap function not yet defined in R/*.R; target module/file requires implementation approval."
"cube_inventory","","not-implemented","validation","cube-validate.R",FALSE,FALSE,"Proposed roadmap function not yet defined in R/*.R; target module/file requires implementation approval."
"cube_missing","","not-implemented","validation","cube-validate.R",FALSE,FALSE,"Proposed roadmap function not yet defined in R/*.R; target module/file requires implementation approval."
"cube_qc_filter","","not-implemented","validation","cube-validate.R",FALSE,FALSE,"Proposed roadmap function not yet defined in R/*.R; target module/file requires implementation approval."
"cube_quality","","not-implemented","validation","cube-validate.R",FALSE,FALSE,"Proposed roadmap function not yet defined in R/*.R; target module/file requires implementation approval."
"cube_uncertainty","","not-implemented","validation","cube-validate.R",FALSE,FALSE,"Proposed roadmap function not yet defined in R/*.R; target module/file requires implementation approval."
"cube_validate","","not-implemented","validation","cube-validate.R",FALSE,FALSE,"Proposed roadmap function not yet defined in R/*.R; target module/file requires implementation approval."
"viz.anomaly","","not-implemented","visualization","viz-by-task.R",FALSE,FALSE,"Proposed roadmap function not yet defined in R/*.R; target module/file requires implementation approval."
"viz.climatology","","not-implemented","visualization","viz-by-task.R",FALSE,FALSE,"Proposed roadmap function not yet defined in R/*.R; target module/file requires implementation approval."
"viz.compare","","not-implemented","visualization","viz-by-task.R",FALSE,FALSE,"Proposed roadmap function not yet defined in R/*.R; target module/file requires implementation approval."
"viz.coverage","","not-implemented","visualization","viz-by-task.R",FALSE,FALSE,"Proposed roadmap function not yet defined in R/*.R; target module/file requires implementation approval."
"viz.hovmoller","","not-implemented","visualization","viz-by-task.R",FALSE,FALSE,"Proposed roadmap function not yet defined in R/*.R; target module/file requires implementation approval."
"viz.map","","not-implemented","visualization","viz-by-task.R",FALSE,FALSE,"Proposed roadmap function not yet defined in R/*.R; target module/file requires implementation approval."
"viz.profile","","not-implemented","visualization","viz-by-task.R",FALSE,FALSE,"Proposed roadmap function not yet defined in R/*.R; target module/file requires implementation approval."
"viz.quality","","not-implemented","visualization","viz-by-task.R",FALSE,FALSE,"Proposed roadmap function not yet defined in R/*.R; target module/file requires implementation approval."
"viz.save","","not-implemented","visualization","viz-by-task.R",FALSE,FALSE,"Proposed roadmap function not yet defined in R/*.R; target module/file requires implementation approval."
"viz.section","","not-implemented","visualization","viz-by-task.R",FALSE,FALSE,"Proposed roadmap function not yet defined in R/*.R; target module/file requires implementation approval."
"viz.series","","not-implemented","visualization","viz-by-task.R",FALSE,FALSE,"Proposed roadmap function not yet defined in R/*.R; target module/file requires implementation approval."
"viz.slope","","not-implemented","visualization","viz-by-task.R",FALSE,FALSE,"Proposed roadmap function not yet defined in R/*.R; target module/file requires implementation approval."
"viz.uncertainty","","not-implemented","visualization","viz-by-task.R",FALSE,FALSE,"Proposed roadmap function not yet defined in R/*.R; target module/file requires implementation approval."
"viz.vector","","not-implemented","visualization","viz-by-task.R",FALSE,FALSE,"Proposed roadmap function not yet defined in R/*.R; target module/file requires implementation approval."
